state_abb,County.Code,cnty_name,Year,OD_rate_AIAN,deaths_AIAN,population_AIAN,OD_rate_ALL,deaths_ALL,population_ALL,deaths_non_AIAN,pop_non_AIAN,OD_rate_non_AIAN,STATEFP,N_reservations,LARs,CRIM_JURIS_t,CRIM_JURIS_per,PL280,PL280_3cat,Year_Factor,base_crim,added_states,state_crim,interact,State_Factor
AK,02130,Ketchikan Gateway Borough,2007,0,0,2354,3.74784498913125e-4,5,13341,5,10987,4.5508328024028395e-4,02,1,,NA,NA,1,Mandatory,2007,1,0,1,3.74784498913125e-4,AK
AK,02130,Ketchikan Gateway Borough,2013,0.002053388,5,2435,3.641925850389686e-4,5,13729,0,11294,0,02,1,,NA,NA,1,Mandatory,2013,1,0,1,3.641925850389686e-4,AK
AK,02130,Ketchikan Gateway Borough,2011,0.002055076,5,2433,7.356727727506805e-4,10,13593,5,11160,4.4802867383512545e-4,02,1,,NA,NA,1,Mandatory,2011,1,0,1,7.356727727506805e-4,AK
AK,02130,Ketchikan Gateway Borough,2004,0,0,2284,3.775294472968892e-4,5,13244,5,10960,4.562043795620438e-4,02,1,,NA,NA,1,Mandatory,2004,1,0,1,3.775294472968892e-4,AK
AK,02130,Ketchikan Gateway Borough,2001,0,0,2391,3.624238909828936e-4,5,13796,5,11405,4.3840420868040335e-4,02,1,,NA,NA,1,Mandatory,2001,1,0,1,3.624238909828936e-4,AK
AK,02130,Ketchikan Gateway Borough,2002,0,0,2370,3.6767409368335905e-4,5,13599,5,11229,4.4527562561225397e-4,02,1,,NA,NA,1,Mandatory,2002,1,0,1,3.6767409368335905e-4,AK
AK,02130,Ketchikan Gateway Borough,2019,0.002060157,5,2427,0.001366808,19,13901,14,11474,0.00122015,02,1,,NA,NA,1,Mandatory,2019,1,0,1,0.001366808,AK
AK,02130,Ketchikan Gateway Borough,2017,0.002010454,5,2487,0.001732102,24,13856,19,11369,0.001671211,02,1,,NA,NA,1,Mandatory,2017,1,0,1,0.001732102,AK
AK,02130,Ketchikan Gateway Borough,2018,0.002027575,5,2466,0.001508837,21,13918,16,11452,0.001397136,02,1,,NA,NA,1,Mandatory,2018,1,0,1,0.001508837,AK
AK,02130,Ketchikan Gateway Borough,2008,0.002126755,5,2351,3.75206363499925e-4,5,13326,0,10975,0,02,1,,NA,NA,1,Mandatory,2008,1,0,1,3.75206363499925e-4,AK
