State,Year,OD_rate_AIAN,deaths_AIAN,population_AIAN,OD_rate_ALL,deaths_ALL,population_ALL,PL280,PL280_3cat,Year_Factor,deaths_non_AIAN,pop_non_AIAN,OD_rate_non_AIAN,base_crim,added_states,state_crim,interact,state_code
AK,1999,1.9862475999508168e-4,21,105727,1.8406508541420245e-4,115,624779,1,Mandatory,1999,94,519052,1.8109938888589196e-4,1,0,1,1.8406508541420245e-4,02
AK,2000,2.5066146776215014e-4,27,107715,1.9459845724895204e-4,122,626932,1,Mandatory,2000,95,519217,1.8296781499835328e-4,1,0,1,1.9459845724895204e-4,02
AK,2001,1.8396725382881847e-4,20,108715,2.2880984166358956e-4,145,633714,1,Mandatory,2001,125,524999,2.3809569161084115e-4,1,0,1,2.2880984166358956e-4,02
AK,2002,2.368890994569773e-4,26,109756,2.2106775726760252e-4,142,642337,1,Mandatory,2002,116,532581,2.1780724434405284e-4,1,0,1,2.2106775726760252e-4,02
AK,2003,2.9746881084589315e-4,33,110936,2.297914603941309e-4,149,648414,1,Mandatory,2003,116,537478,2.1582278716524212e-4,1,0,1,2.297914603941309e-4,02
AK,2004,2.484009190834006e-4,28,112721,2.36619615766147e-4,156,659286,1,Mandatory,2004,128,546565,2.3418989507194936e-4,1,0,1,2.36619615766147e-4,02
AK,2005,3.150819212995379e-4,36,114256,2.39899482116993e-4,160,666946,1,Mandatory,2005,124,552690,2.243572346161501e-4,1,0,1,2.39899482116993e-4,02
AK,2006,2.1622369638733447e-4,25,115621,2.3989267024235084e-4,162,675302,1,Mandatory,2006,137,559681,2.447822956291173e-4,1,0,1,2.3989267024235084e-4,02
AK,2007,2.321622039931899e-4,27,116298,2.4694987505512276e-4,168,680300,1,Mandatory,2007,141,564002,2.49999113478321e-4,1,0,1,2.4694987505512276e-4,02
AK,2008,4.941384950926936e-4,58,117376,3.6075088551250627e-4,248,687455,1,Mandatory,2008,190,570079,3.3328714090503247e-4,1,0,1,3.6075088551250627e-4,02
AK,2009,3.603543204806959e-4,43,119327,3.219367716180542e-4,225,698895,1,Mandatory,2009,182,579568,3.1402699942025783e-4,1,0,1,3.219367716180542e-4,02
AK,2010,2.9887424036130575e-4,36,120452,2.6611060345155306e-4,189,710231,1,Mandatory,2010,153,589779,2.594192061772291e-4,1,0,1,2.6611060345155306e-4,02
AK,2011,4.183242422999631e-4,51,121915,2.9887175910936215e-4,216,722718,1,Mandatory,2011,165,600803,2.746324502374322e-4,1,0,1,2.9887175910936215e-4,02
AK,2012,4.8004946950465404e-4,59,122904,3.1991293993156053e-4,234,731449,1,Mandatory,2012,175,608545,2.875711738655317e-4,1,0,1,3.1991293993156053e-4,02
AK,2013,3.0992072554073013e-4,38,122612,2.775011834609295e-4,204,735132,1,Mandatory,2013,166,612520,2.7101155880624307e-4,1,0,1,2.775011834609295e-4,02
AK,2014,0.001459262,180,123350,0.001024796,755,736732,1,Mandatory,2014,575,613382,9.374256173151479e-4,1,0,1,0.001024796,02
AK,2015,0.001750678,217,123952,0.00119984,886,738432,1,Mandatory,2015,669,614480,0.001088725,1,0,1,0.00119984,02
AK,2016,0.002014923,256,127052,0.001302073,966,741894,1,Mandatory,2016,710,614842,0.001154768,1,0,1,0.001302073,02
AK,2017,0.001896195,242,127624,0.001217905,901,739795,1,Mandatory,2017,659,612171,0.001076497,1,0,1,0.001217905,02
AK,2018,0.001944811,249,128033,0.001197389,883,737438,1,Mandatory,2018,634,609405,0.001040359,1,0,1,0.001197389,02
AK,2019,0.002167455,278,128261,0.001368337,1001,731545,1,Mandatory,2019,723,603284,0.001198441,1,0,1,0.001368337,02
AK,2020,0.002384106,306,128350,0.001425137,1042,731158,1,Mandatory,2020,736,602808,0.001220953,1,0,1,0.001425137,02
AL,1999,2.205947233742169e-4,5,22666,7.381254908139493e-5,327,4430141,0,No,1999,322,4407475,7.305770310665404e-5,0,0,0,0,01
AL,2000,0,0,25386,1.0568685210586675e-4,470,4447100,0,No,2000,470,4421714,1.0629362278971458e-4,0,0,0,0,01
AL,2001,0,0,26010,1.2109317817887499e-4,541,4467634,0,No,2001,541,4441624,1.2180229573687462e-4,0,0,0,0,01
AL,2002,1.851646113394808e-4,5,27003,1.1048887644865984e-4,495,4480089,0,No,2002,490,4453086,1.1003605140345369e-4,0,0,0,0,01
