County.Code,STATEFP,N_reservations,LARs,CRIM_JURIS_t,CRIM_JURIS_per
01051,01,1,,NA,NA
01053,01,1,,NA,NA
01101,01,1,,NA,NA
02130,02,1,,NA,NA
02198,02,1,,NA,NA
04001,04,6,,NA,NA
04003,04,1,,NA,NA
04005,04,6,,NA,NA
04007,04,3,,NA,NA
04009,04,2,,NA,NA
04011,04,1,,NA,NA
04012,04,1,,NA,NA
04013,04,5,,NA,NA
04015,04,5,,NA,NA
04017,04,4,,NA,NA
04019,04,3,,NA,NA
04021,04,4,,NA,NA
04025,04,3,,NA,NA
04027,04,2,,NA,NA
06003,06,1,,NA,NA
06005,06,2,,NA,NA
06007,06,4,,NA,NA
06011,06,2,,NA,NA
06013,06,1,,NA,NA
06015,06,4,,NA,NA
06017,06,1,,NA,NA
06019,06,3,,NA,NA
06021,06,2,,NA,NA
06023,06,8,,NA,NA
06025,06,2,,NA,NA
06027,06,5,,NA,NA
06031,06,1,,NA,NA
06033,06,7,,NA,NA
06035,06,1,,NA,NA
06039,06,2,,NA,NA
06045,06,10,,NA,NA
06049,06,6,,NA,NA
06051,06,2,,NA,NA
06061,06,1,,NA,NA
06063,06,1,,NA,NA
06065,06,12,,NA,NA
06067,06,1,,NA,NA
06071,06,5,,NA,NA
06073,06,20,,NA,NA
06083,06,1,,NA,NA
06089,06,5,,NA,NA
06091,06,1,,NA,NA
06093,06,2,,NA,NA
06097,06,4,,NA,NA
06103,06,1,,NA,NA
06105,06,1,,NA,NA
06107,06,1,,NA,NA
06109,06,2,,NA,NA
06113,06,1,,NA,NA
06115,06,1,,NA,NA
08007,08,2,,NA,NA
08045,08,1,,NA,NA
08051,08,1,,NA,NA
08067,08,2,,NA,NA
08081,08,1,,NA,NA
08083,08,3,,NA,NA
08103,08,1,,NA,NA
09180,09,2,,NA,NA
12011,12,3,,NA,NA
12021,12,3,,NA,NA
12043,12,2,,NA,NA
12051,12,2,,NA,NA
12055,12,1,,NA,NA
12057,12,1,,NA,NA
12086,12,1,,NA,NA
12105,12,1,,NA,NA
12111,12,1,,NA,NA
16005,16,1,,NA,NA
16009,16,1,,NA,NA
16011,16,1,,NA,NA
16021,16,1,,0,0
16029,16,1,,NA,NA
16035,16,1,,NA,NA
16049,16,1,,NA,NA
16055,16,1,,NA,NA
16057,16,2,,NA,NA
16061,16,1,,NA,NA
16069,16,1,,NA,NA
16073,16,1,,NA,NA
16077,16,1,,NA,NA
19133,19,2,,2,1
19171,19,1,,NA,NA
19193,19,1,,1,1
20013,20,3,,NA,NA
20043,20,1,,NA,NA
20085,20,2,,NA,NA
22003,22,1,,NA,NA
22009,22,1,,NA,NA
22043,22,1,,NA,NA
22059,22,1,,NA,NA
22101,22,1,,NA,NA
23003,23,2,,NA,NA
23007,23,1,,1,1
23009,23,1,,1,1
23017,23,1,,1,1
23019,23,1,,1,1
23025,23,1,,1,1
23029,23,3,,NA,NA
25001,25,1,,0,0
25005,25,1,,0,0
25007,25,1,,NA,NA
26003,26,1,,NA,NA
26005,26,1,,NA,NA
26009,26,1,,NA,NA
26011,26,1,,NA,NA
26013,26,1,,NA,NA
26019,26,1,,NA,NA
26021,26,1,,NA,NA
26025,26,1,,NA,NA
26027,26,1,,NA,NA
26029,26,2,,NA,NA
26033,26,2,,NA,NA
26035,26,1,,NA,NA
26041,26,2,,NA,NA
26047,26,1,,NA,NA
26053,26,1,,NA,NA
26055,26,1,,NA,NA
26073,26,1,,NA,NA
26089,26,1,,NA,NA
26095,26,1,,NA,NA
26097,26,1,,NA,NA
26101,26,1,,NA,NA
26103,26,1,,NA,NA
26105,26,1,,NA,NA
26109,26,1,,NA,NA
26111,26,1,,NA,NA
26113,26,1,,NA,NA
26131,26,1,,NA,NA
26159,26,1,,NA,NA
27001,27,1,,NA,NA
27005,27,1,,NA,NA
27007,27,2,,NA,NA
27017,27,1,,NA,NA
