State,Year,drd_AIAN_p100k
AK,1999,19.862
AK,2000,25.066
AK,2001,18.397
AK,2002,23.689
AK,2003,29.747
AK,2004,24.84
AK,2005,31.508
AK,2006,21.622
AK,2007,23.216
AK,2008,49.414
AK,2009,36.035
AK,2010,29.887
AK,2011,41.832
AK,2012,48.005
AK,2013,30.992
AK,2014,145.926
AK,2015,175.068
AK,2016,201.492
AK,2017,189.62
AK,2018,194.481
AK,2019,216.746
AK,2020,238.411
AL,1999,22.059
AL,2000,0.0
AL,2001,0.0
AL,2002,18.516
AL,2003,0.0
AL,2004,17.257
AL,2005,16.691
AL,2006,16.044
AL,2007,15.493
AL,2008,14.917
AL,2009,0.0
AL,2010,13.903
AL,2011,13.756
AL,2012,13.633
AL,2013,13.626
AL,2014,13.541
AL,2015,13.431
AL,2016,45.711
AL,2017,29.393
AL,2018,44.985
AL,2019,44.437
AL,2020,44.332
AZ,1999,10.534
AZ,2000,9.703
AZ,2001,10.537
AZ,2002,13.381
AZ,2003,11.72
AZ,2004,15.02
AZ,2005,12.967
AZ,2006,13.148
AZ,2007,9.501
AZ,2008,11.254
AZ,2009,15.008
AZ,2010,32.358
AZ,2011,33.014
AZ,2012,37.031
AZ,2013,44.933
AZ,2014,44.66
AZ,2015,41.941
AZ,2016,49.769
AZ,2017,57.204
AZ,2018,64.77
AZ,2019,66.423
AZ,2020,105.091
CA,1999,8.829
CA,2000,9.943
CA,2001,6.06
CA,2002,11.501
CA,2003,13.837
CA,2004,15.064
CA,2005,13.405
CA,2006,12.514
CA,2007,14.615
CA,2008,14.485
CA,2009,13.535
CA,2010,13.661
CA,2011,14.277
CA,2012,14.99
CA,2013,15.194
CA,2014,17.436
CA,2015,19.283
CA,2016,19.525
CA,2017,19.185
CA,2018,21.724
CA,2019,22.403
CA,2020,31.036
CO,1999,9.422
CO,2000,24.366
CO,2001,19.63
CO,2002,18.786
CO,2003,27.297
CO,2004,18.868
CO,2005,22.213
CO,2006,29.156
CO,2007,23.968
CO,2008,29.721
CO,2009,33.847
CO,2010,12.903
CO,2011,22.928
CO,2012,39.08
CO,2013,44.275
CO,2014,66.23
CO,2015,47.465
CO,2016,57.028
CO,2017,57.353
CO,2018,73.608
CO,2019,74.923
CO,2020,69.849
CT,1999,0.0
CT,2000,38.98
CT,2001,36.963
CT,2002,35.278
CT,2003,33.298
CT,2004,32.154
CT,2005,30.895
CT,2006,29.558
CT,2007,28.367
CT,2008,27.118
CT,2009,25.963
CT,2010,24.981
CT,2011,24.492
CT,2012,23.743
CT,2013,22.844
CT,2014,22.828
CT,2015,22.143
CT,2016,22.062
CT,2017,21.705
CT,2018,21.242
CT,2019,20.609
CT,2020,18.828
FL,1999,8.208
FL,2000,7.531
FL,2001,7.098
FL,2002,6.711
FL,2003,6.386
FL,2004,17.077
FL,2005,34.987
FL,2006,45.577
FL,2007,33.275
FL,2008,41.823
FL,2009,31.799
FL,2010,43.291
FL,2011,29.831
FL,2012,34.91
FL,2013,44.494
FL,2014,43.486
FL,2015,52.376
FL,2016,55.912
FL,2017,47.935
FL,2018,37.61
FL,2019,43.513
FL,2020,40.954
IA,1999,0.0
IA,2000,47.605
IA,2001,45.88
IA,2002,0.0
IA,2003,42.319
IA,2004,40.591
IA,2005,0.0
IA,2006,37.756
IA,2007,35.945
IA,2008,34.59
IA,2009,33.227
IA,2010,32.409
IA,2011,75.382
IA,2012,93.347
IA,2013,29.812
IA,2014,69.509
IA,2015,67.655
IA,2016,88.785
IA,2017,81.633
IA,2018,121.874
IA,2019,108.927
IA,2020,120.597
ID,1999,25.873
ID,2000,0.0
ID,2001,23.42
ID,2002,22.673
ID,2003,83.653
ID,2004,68.198
ID,2005,109.471
ID,2006,66.192
ID,2007,82.034
ID,2008,82.14
ID,2009,96.792
ID,2010,60.401
